venue_id,name,gu,axis,status,reserve_rank
V00BC0606F23F,린의원,강남구,medical_wellness,primary,
V01E141F0603E,커브스 세곡클럽,강남구,exercise_body,primary,
V06E7B6F894B8,청담슬림의원,서초구,medical_wellness,primary,
V09DD315F244C,DAOM NAIL(다옴네일),송파구,beauty_care,primary,
V0E808A7ABC34,서울톤피부과의원,강남구,medical_wellness,primary,
V0F74AC9C7E8E,클리어톤의원,강남구,medical_wellness,primary,
V0FA04152E060,임한의원,송파구,medical_wellness,primary,
V12205DC16EC8,오요재한의원,서초구,medical_wellness,reserve,15
V14B0A7A3214A,어반필드 역삼점,강남구,exercise_body,primary,
V14BBE7019445,동구사우나,서초구,relax_recovery,primary,
V158D9A0F31B4,화인신경외과의원,송파구,medical_wellness,primary,
V18E1DDEE99E9,"버핏그라운드 도곡, 팀버핏 도곡",강남구,exercise_body,primary,
V19BA9186D6DB,이비엠한의원,서초구,medical_wellness,primary,
V1A56297DB0EC,스피드순환운동,서초구,exercise_body,primary,
V1AB258B8B5F1,최원준 GYM,강남구,exercise_body,primary,
V1DDDB36A69BF,드아쉬,강남구,beauty_care,primary,
V1E3A487ABBDA,춘강안마원,서초구,relax_recovery,primary,
V25B60A99C4EC,팜스케어안마원,송파구,relax_recovery,primary,
V296B6D4854E2,건강한지압안마원,송파구,relax_recovery,primary,
V2F3AA064393B,아름다움을써내려가다에피소드의원,송파구,medical_wellness,primary,
V2F4ED8DFEB23,마커스 그래비티,서초구,exercise_body,primary,
V3240BE293B78,주엘스킨테라피,강남구,beauty_care,primary,
V327339F51629,서일사우나,송파구,relax_recovery,primary,
V33F40F88162F,늘솜래쉬,강남구,beauty_care,reserve,18
V35BB4AE036CE,휘트니스 플레이스(Fitness Place),송파구,exercise_body,primary,
V3A6A65564C3D,골드로즈사우나,강남구,relax_recovery,primary,
V3ACBCC6CF250,세영 여성전용사우나,송파구,relax_recovery,primary,
V3B2CEF5C497F,루아르네일,강남구,beauty_care,primary,
V3B52E6F6157E,미인케어 잠실가현점,송파구,beauty_care,primary,
V3C720A164977,프리마스파,강남구,relax_recovery,primary,
V40DA961BF49B,서울피부과의원,강남구,medical_wellness,primary,
V41B9F125165B,어루만짐 스킨앤바디,서초구,beauty_care,primary,
V4277A26B1791,강남챔피언정형외과의원,송파구,medical_wellness,primary,
V44908EB08D1F,보리사우나,강남구,relax_recovery,reserve,8
V48580C32BF82,나인,강남구,relax_recovery,primary,
V492F0C5C649B,경희로운한의원,서초구,medical_wellness,primary,
V492FCB23D528,정숙경헤어개성연출,서초구,beauty_care,primary,
