keyword,engine,label,independent_domains,ugc_ratio,status
강남구 필라테스 허리통증 가격,google,enterable,6,0.6667,no_volume_data
강남구 필라테스 허리통증 후기,google,enterable,6,0.6667,ok
강남구 필라테스 갱년기 가격,google,enterable,6,0.6667,ok
강남구 필라테스 갱년기 후기,google,enterable,6,0.6667,ok
강남구 필라테스 초보 가격,google,enterable,6,0.6667,ok
강남구 필라테스 초보 후기,google,enterable,6,0.6667,ok
강남구 요가 허리통증 가격,google,enterable,6,0.6667,ok
강남구 요가 허리통증 후기,google,hard,3,0.0000,ok
강남구 요가 갱년기 가격,google,hard,3,0.0000,ok
강남구 요가 갱년기 후기,google,hard,3,0.0000,ok
강남구 요가 초보 가격,google,hard,3,0.0000,ok
강남구 요가 초보 후기,google,hard,3,0.0000,ok
강남구 필라테스 허리통증 가격,naver,enterable,6,0.6667,ok
강남구 필라테스 허리통증 후기,naver,enterable,6,0.6667,ok
강남구 필라테스 갱년기 가격,naver,enterable,6,0.6667,ok
강남구 필라테스 갱년기 후기,naver,enterable,6,0.6667,ok
강남구 필라테스 초보 가격,naver,hard,3,0.0000,ok
강남구 필라테스 초보 후기,naver,hard,3,0.0000,ok
강남구 요가 허리통증 가격,naver,hard,3,0.0000,ok
강남구 요가 허리통증 후기,naver,hard,3,0.0000,ok
강남구 요가 갱년기 가격,naver,hard,3,0.0000,ok
강남구 요가 갱년기 후기,naver,hard,3,0.0000,ok
강남구 요가 초보 가격,naver,blocked,0,0.0000,blocked
강남구 요가 초보 후기,naver,blocked,0,0.0000,blocked
강남구 PT 허리통증 가격,google,no_volume_data,0,0.0000,no_volume_data
강남구 PT 허리통증 가격,naver,no_volume_data,0,0.0000,no_volume_data
강남구 PT 허리통증 후기,google,no_volume_data,0,0.0000,no_volume_data
강남구 PT 허리통증 후기,naver,no_volume_data,0,0.0000,no_volume_data
강남구 PT 갱년기 가격,google,no_volume_data,0,0.0000,no_volume_data
강남구 PT 갱년기 가격,naver,no_volume_data,0,0.0000,no_volume_data
